region_code,number_prefix,is_geographic,is_mobile,is_satellite
AR,549341503,0,1,0
AR,549239267,0,1,0
AR,549115061,0,1,0
AR,5492346614,0,1,0
AR,549226851,0,1,0
AR,5493444518,0,1,0
AR,5493455442,0,1,0
AR,549260403,0,1,0
AR,542236446,0,1,0
AR,5492346408,0,1,0
AR,5492634255,0,1,0
AR,5492324592,0,1,0
AR,549113226,0,1,0
AR,549265762,0,1,0
AR,5492921407,0,1,0
AR,549228159,0,1,0
AR,54911617,0,1,0
AR,5492652614,0,1,0
AR,5492651408,0,1,0
AR,5492304479,0,1,0
AR,549115006,0,1,0
AR,5493442479,0,1,0
AR,5492227587,0,1,0
AR,5492926455,0,1,0
AR,5492627203,0,1,0
AR,54336,1,0,0
AR,5493442454,0,1,0
AR,5492224502,0,1,0
AR,5492623367,0,1,0
AR,5492262489,0,1,0
AR,5492625402,0,1,0
AR,5492267453,0,1,0
AR,5492293670,0,1,0
AR,5492268459,0,1,0
AR,5493446476,0,1,0
AR,5492223422,0,1,0
AR,549237410,0,1,0
AR,549223540,0,1,0
AR,5492227594,0,1,0
AR,549262333,0,1,0
AR,5492652613,0,1,0
AR,549115743,0,1,0
AR,549226753,0,1,0
AR,549114149,0,1,0
AR,5492246438,0,1,0
AR,5492293679,0,1,0
AR,5492291449,0,1,0
AR,5492623204,0,1,0
AR,549115328,0,1,0
AR,54112006,0,1,0
AR,5492254422,0,1,0
AR,5492226448,0,1,0
AR,5492284616,0,1,0
AR,541152076,0,1,0
AR,542320359,0,1,0
AR,549221592,0,1,0
AR,549265220,0,1,0
AR,5492623394,0,1,0
AR,5492393411,0,1,0
AR,549112191,0,1,0
AR,5492252457,0,1,0
AR,5492657330,0,1,0
AR,549341566,0,1,0
AR,5492664626,0,1,0
AR,5492252484,0,1,0
AR,5492625409,0,1,0
AR,549264498,0,1,0
AR,5492396457,0,1,0
AR,5492266520,0,1,0
AR,5492224485,0,1,0
AR,549264545,0,1,0
AR,5492317555,0,1,0
AR,5492346541,0,1,0
AR,5492302314,0,1,0
AR,5492257547,0,1,0
AR,5492477398,0,1,0
AR,5492224456,0,1,0
AR,5492226457,0,1,0
AR,5492901507,0,1,0
AR,5492353410,0,1,0
AR,5492494266,0,1,0
AR,5492634394,0,1,0
AR,5492325402,0,1,0
AR,549261518,0,1,0
AR,5492262493,0,1,0
AR,542914609,0,1,0
AR,542995910,0,1,0
AR,549341229,0,1,0
AR,549264447,0,1,0
AR,5492302456,0,1,0
AR,549260466,0,1,0
AR,549343511,0,1,0
AR,5492302444,0,1,0
AR,5493447527,0,1,0
AR,5492224527,0,1,0
AR,549223504,0,1,0
AR,5492353416,0,1,0
AR,54911674,0,1,0
AR,5493447454,0,1,0
AR,5492257541,0,1,0
AR,5492393412,0,1,0
AR,549223539,0,1,0
AR,549114970,0,1,0
AR,5492474419,0,1,0
AR,5492921408,0,1,0
AR,549224153,0,1,0
AR,5492304318,0,1,0
AR,5492281563,0,1,0
AR,5492336474,0,1,0
AR,5492623251,0,1,0
AR,549247763,0,1,0
AR,549341625,0,1,0
AR,549266484,0,1,0
AR,5492395433,0,1,0
AR,5492257603,0,1,0
AR,5492901627,0,1,0
AR,54115130,0,1,0
AR,5493454409,0,1,0
AR,5492223435,0,1,0
AR,549247466,0,1,0
AR,549343524,0,1,0
AR,5492634555,0,1,0
AR,5492346304,0,1,0
AR,542234607,0,1,0
AR,54221458,0,1,0
AR,5492293492,0,1,0
AR,5492634614,0,1,0
AR,5492362555,0,1,0
AR,5492625413,0,1,0
AR,5492342465,0,1,0
AR,541152077,0,1,0
AR,5492622630,0,1,0
AR,5492652786,0,1,0
AR,549342616,0,1,0
AR,5492396593,0,1,0
AR,5492323587,0,1,0
AR,5492264414,0,1,0
AR,5493447547,0,1,0
AR,549115338,0,1,0
AR,5492257551,0,1,0
AR,5492317507,0,1,0
AR,5492634324,0,1,0
AR,5492364682,0,1,0
